School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
A B Paterson College,Arundel,112,108,--,37,11,78,--,1,98%,98%,108,35,10,7,26,5,--,--,1,2,4,2,1,1,1,--,--,--,--,--,,,,,,,78,77,19,4,1,17,1,--,--,1,--,34,31,18,7,7,10,4,--,--,--,2,18,28,24,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal and Islander Independent Community School,Acacia Ridge,1,1,--,1,1,--,--,0,100%,--,1,1,1,--,--,1,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnew School,Wakerley,31,28,--,21,12,7,--,2,94%,--,28,20,12,3,4,13,--,--,--,1,3,1,--,1,--,--,--,--,--,--,,,,,,,7,7,--,--,--,--,--,--,--,--,1,24,21,21,12,4,4,13,--,--,--,--,2,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Creek State High School,Albany Creek,208,172,--,161,27,112,--,6,96%,89%,172,134,24,119,109,9,1,--,2,18,36,27,3,23,12,--,--,--,1,5,,,,,,,112,104,73,9,62,53,3,1,--,3,11,96,68,88,18,80,68,6,--,--,--,12,22,24,33,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Park Flexible Learning Centre,Brisbane,15,2,--,3,2,--,--,11,27%,75%,2,1,1,--,1,--,--,--,--,--,13,2,1,1,2,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldridge State High School,Maryborough,158,130,4,150,9,71,--,3,96%,91%,130,128,9,127,50,16,--,--,2,9,24,21,--,21,1,2,--,--,--,1,4,1,--,1,1,--,71,68,69,2,69,19,4,--,--,2,6,83,62,80,7,79,32,14,--,--,--,4,5,14,26,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Hills State High School,Alexandra Hills,208,192,--,155,26,82,--,2,99%,95%,192,142,24,43,119,57,--,--,--,16,16,13,2,11,6,2,--,--,--,4,,,,,,,82,79,39,3,1,32,9,--,--,--,6,126,113,116,23,53,93,50,--,--,--,14,10,26,30,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,
All Hallows' School,Brisbane,238,236,1,98,8,195,--,0,100%,99%,236,96,6,62,41,12,--,--,10,4,1,1,1,--,--,--,--,--,--,--,1,1,1,--,--,--,195,195,73,3,52,32,4,--,--,10,1,42,41,24,4,10,9,8,--,--,--,3,66,62,54,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,
All Saints Anglican School,Merrimac,180,179,--,62,12,130,--,0,100%,98%,179,61,12,14,32,35,--,--,21,5,1,1,--,--,1,--,--,--,--,--,,,,,,,130,130,22,3,3,9,12,--,--,19,2,50,49,40,9,11,24,23,--,--,2,3,33,46,40,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Souls St Gabriels School,Charters Towers,49,32,--,20,8,29,--,6,82%,94%,32,12,4,--,10,3,--,--,--,1,17,8,4,--,8,--,--,--,--,--,,,,,,,29,24,7,--,--,5,2,--,--,--,1,20,8,13,8,--,13,1,--,--,--,--,4,8,5,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,
