School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
A B Paterson College,Arundel,99,97,--,15,4,79,--,1,98%,100%,97,15,4,7,3, 5,--,--,14,--,,,,,,,,,,,,,,,,,79,78,5,1,2,1, 1,--,--,13,--,20,19,10,3,5,2, 4,--,--,1,--,24,28,23,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal and Islander Independent Community School,Acacia Ridge,8,--,--,6,4,--,--,2,75%,--,,,,,,,,,,,8,6,4,--,1,4,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnew School,Wakerley,35,35,--,35,19,17,--,0,100%,--,35,35,19,--,35, 19,--,--,--,1,,,,,,,,,,,,,,,,,17,17,17,4,--,17, 5,--,--,--,1,18,18,18,15,--,18, 14,--,--,--,--,3,8,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Creek State High School,Albany Creek,194,183,1,187,29,116,--,0,99%,95%,183,178,28,174,97, 40,1,--,2,3,10,9,1,7,4,--,--,--,--,--,,,,,,,116,115,110,10,107,42, 19,1,--,2,1,77,68,77,19,74,59, 21,--,--,--,2,17,33,38,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Park Flexible Learning Centre,Brisbane,15,--,--,7,1,--,--,8,47%,--,,,,,,,,,,,15,7,1,3,3,--,--,--,--,--,,,,,,,,,,,,,,,,,,15,--,7,1,3,3, --,--,--,--,--,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldridge State High School,Maryborough,143,120,2,98,7,52,--,7,94%,93%,120,84,5,46,49, 13,--,--,2,--,21,13,2,6,6,1,--,--,--,--,2,1,--,1,1, --,52,50,19,2,3,18, --,--,--,2,--,89,70,78,5,49,37, 14,--,--,--,--,9,22,12,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Hills State High School,Alexandra Hills,204,197,--,163,41,85,--,0,100%,89%,197,156,40,99,113, 64,4,--,--,8,7,7,1,5,4,--,--,--,--,--,,,,,,,85,85,48,8,28,17, 14,1,--,--,1,119,112,115,33,76,100, 50,3,--,--,7,10,22,36,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Hallows' School,Brisbane,229,227,--,30,5,201,--,2,99%,100%,227,30,5,1,16, 10,--,1,2,2,,,,,,,,,,,,,,,,,201,201,19,3,1,13, 3,--,--,2,--,28,26,11,2,--,3, 7,--,1,--,2,74,71,53,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Saints Anglican School,Merrimac,176,176,--,92,19,130,--,0,100%,99%,176,92,19,42,38, 29,7,22,10,24,,,,,,,,,,,,,,,,,130,130,48,7,21,15, 12,2,10,9,10,46,46,44,12,21,23, 17,5,12,1,14,44,55,18,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Souls St Gabriels School,Charters Towers,47,43,--,20,3,21,--,3,91%,100%,43,20,3,11,7, 6,--,--,--,--,,,,,,,,,,,,,,,,,21,20,5,1,2,3, --,--,--,--,--,26,23,15,2,9,4, 6,--,--,--,--,1,1,6,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglican Church Grammar School,East Brisbane,199,196,--,9,3,187,--,1,98%,99%,196,9,3,1,2, 3,--,--,--,1,,,,,,,,,,,,,,,,,187,185,5,1,--,2, 2,--,--,--,--,12,11,4,2,1,--, 1,--,--,--,1,71,60,38,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Annandale Christian College,Annandale,37,34,--,8,1,24,--,2,92%,100%,34,8,1,1,5, 4,--,--,--,2,,,,,,,,,,,,,,,,,24,23,4,--,1,2, 1,--,--,--,2,13,11,4,1,--,3, 3,--,--,--,--,6,3,10,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquinas College,Southport,122,108,--,74,17,87,--,3,93%,98%,108,69,15,33,44, 23,10,1,18,2,14,5,2,2,4,--,1,--,--,1,,,,,,,87,80,45,9,22,28, 12,8,--,18,--,35,28,29,8,13,20, 11,3,1,--,3,11,22,28,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadia College,Southport,1,--,--,1,--,--,--,0,100%,--,,,,,,,,,,,1,1,--,1,1,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arethusa College,Deception Bay,26,2,--,13,6,--,--,13,50%,--,2,2,--,1,2, --,--,--,--,1,24,11,6,1,3,3,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley Special School,Aspley,20,--,20,4,--,--,--,0,20%,--,,,,,,,,,,,,,,,,,,,,,20,4,--,4,--, --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley State High School,Aspley,134,127,1,98,16,53,--,1,99%,88%,127,93,16,51,67, 19,--,--,--,--,6,4,--,3,3,--,--,--,--,1,1,1,--,--,1, --,53,52,21,3,11,7, 5,--,--,--,--,80,75,76,13,43,63, 14,--,--,--,1,14,17,16,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Assisi Catholic College,Upper Coomera,94,80,2,52,8,62,--,4,93%,97%,80,45,6,10,24, 21,1,--,34,--,12,5,1,3,2,--,--,--,4,--,2,2,1,--,--, 1,62,58,26,1,5,14, 11,1,--,31,--,30,22,24,6,8,12, 10,--,--,7,--,5,16,26,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumption College,Warwick,49,45,--,23,4,30,--,1,98%,95%,45,20,3,--,6, 13,--,--,1,2,4,3,1,--,2,--,--,--,--,--,,,,,,,30,30,10,2,--,1, 9,--,--,1,2,19,15,13,2,--,7, 4,--,--,--,--,1,8,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,
